,ground_truth_0.1%,ground_truth_0.2%,ground_truth_0.3%,ground_truth_0.4%
abstract:distilbert-base-uncased-finetuned-sst-2-english_Prediction,0.26505532017212374,0.23763876139551124,0.21367643751228163,0.1914478716129361
abstract:mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis_Prediction,0.2166562696394108,0.27587348877908263,0.3103944275504676,0.3275231008440615
abstract:ProsusAI/finbert_Prediction,0.2413077728985309,0.2870920869461317,0.30873780496894015,0.32447379476066496
lead_paragraph:distilbert-base-uncased-finetuned-sst-2-english_Prediction,0.2808415169866324,0.2517528306582058,0.22599372830535072,0.1998527603033788
lead_paragraph:mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis_Prediction,0.19482131866012922,0.2578725872233683,0.2976785106685796,0.32661006922682473
lead_paragraph:ProsusAI/finbert_Prediction,0.2008036529936529,0.25800669985790387,0.2925099196643057,0.3160441831374188
full_text:distilbert-base-uncased-finetuned-sst-2-english_Prediction,0.23312851534271375,0.20806825322023248,0.18324298190594077,0.1651955884366835
full_text:mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis_Prediction,0.2773099725755134,0.3186821272833164,0.34401109305857674,0.3544854389993346
full_text:ProsusAI/finbert_Prediction,0.21841511757524068,0.26774254871978725,0.30038239266897176,0.31509752483716225
